Fase atual,Data de cadastro,Nome do cliente,Empresa,Vendedor,Perfil de cliente,Setor,Checklist vertical,Origem,Valor Final,Motivo da perda,Motivo da não qualificação,Tempo total na fase Base de prospects (dias),Tempo total na fase Qualificação (dias),Tempo total na fase Diagnóstico (dias),Tempo total na fase Montagem de proposta (dias),Tempo total na fase Apresentação de proposta (dias),Tempo total na fase Negociação (dias),Primeira vez que entrou na fase Ganho,Tempo total na fase Renegociação (dias),Tempo total do negócio (dias)
Renegociação,2023-04-03 17:58:58,Daniela Rocha Monteiro,,Felipe Costa,Empreendedor,Construção e Engenharia,"Concepção, Desenvolvimento Mobile, Desenvolvimento Web, Marketplace",Indicação MEJ,,,,"1,863067",,"0,000127","26,843762","1,033356","9,376759",,"289,894271","39,117071"
Ganho,2023-04-25 17:45:06,Felipe Gonçalves Moreira,HorizonTech Serviços,Felipe Costa,Startup,Construção e Engenharia,Marketplace,Comunidade CITi,30500,,,"3,143646","9,646887","0,001863","11,104213","6,000637","5,078322",2023-05-30 17:09:59,,"34,975568"
Ganho,2023-05-10 14:55:15,Letícia Carvalho Antunes,Quantum Consultoria Financeira,Rafael Lima,Startup,Turismo e Hospitalidade,Desenvolvimento Mobile,Parcerias,21000,,,"0,000428",,,"2,244178","10,755984","14,126227",2023-06-06 17:57:54,,"27,126817"
Ganho,2023-05-11 19:00:58,Gabriel Costa Nogueira,BetaWare Soluções,Rafael Lima,Empresa consolidada,Consultoria e Serviços Profissionais,Desenvolvimento Mobile,Ex cliente,5000,,,"0,000613","0,000058","10,985081","2,762535","0,000289","15,082083",2023-06-09 14:57:11,,"28,830659"
Ganho,2023-05-15 13:57:40,Isabelly Vieira Cunha,BioFuturo Sustentável,Pedro Santos,Startup,Agricultura e Agroindústria,"Concepção, Desenvolvimento Mobile",Ex cliente,8000,,,"0,051516","0,000359","0,000139","0,181887","0,00059","9,723808",2023-05-25 12:57:40,,"9,958299"
Ganho,2023-06-12 19:04:03,André Luiz Teixeira,Orion Consultoria Empresarial,Felipe Costa,Startup,Educação e Ensino,Desenvolvimento Web,CIn,1000,,,"0,968218","5,775255","0,000058","18,220347","0,000359","3,745139",2023-07-11 12:05:37,,"28,709376"
Ganho,2023-06-19 13:13:43,Vitória Lopes Matos,DataSolutions Consultoria,Lucas Martins,Startup,Consultoria e Serviços Profissionais,Landing/One page,Comunidade CITi,750,,,"0,005081","1,156806","0,000081","17,044977","0,000428",,2023-07-07 18:12:22,,"18,207373"
Ganho,2023-06-19 13:15:05,Matheus Pereira Machado,EasyTrade Importação e Exportação,Maria Ferreira,Startup,Consultoria e Serviços Profissionais,Desenvolvimento Web,Marketing,45500,,,"0,004155","14,872882","0,000023","21,089549","1,387407","57,923194",2023-09-22 19:54:19,,"95,27721"
Ganho,2023-07-04 11:00:38,Gabriela Pires Franco,TechWave Engenharia,Lucas Martins,Empresa consolidada,Educação e Ensino,Desenvolvimento Web,Parcerias,47000,,,"1,266806","2,032118","0,000023","10,662211","10,387951","98,004317",2023-11-03 19:29:39,,"122,353426"
Ganho,2023-07-13 17:34:27,Eduardo Alves Dias,ClearTech Consultoria,Lucas Martins,Empresa consolidada,Tecnologia da Informação (TI),"Concepção, Desenvolvimento Web",Indicação MEJ,72000,,,"3,741366","0,000058","0,007141","21,402361","3,745891","10,846111",2023-08-22 11:24:20,,"39,742928"
Ganho,2023-08-07 17:08:53,Aline Moreira Rocha,TopLine Sistemas,Felipe Costa,Empresa consolidada,Saúde e Cuidados Médicos,"Concepção, Desenvolvimento Web",Comunidade CITi,20000,,,"0,000127","9,079282","0,014005","0,000949","0,00147","7,913206",2023-08-24 17:21:58,,"17,009039"
Ganho,2023-09-04 14:32:55,Diego Araújo Fernandes,PrimeNet Serviços,Pedro Santos,Startup,Turismo e Hospitalidade,Desenvolvimento Mobile,Ex cliente,15000,,,"0,000046",,"0,871586","8,203345","5,179769","34,838692",2023-10-23 16:47:32,,"49,093438"
Leads não-qualificados,2023-10-04 19:17:48,Carolina Oliveira Dantas,LogiCargo Transportes,Rafael Lima,Empresas Juniores,Consultoria e Serviços Profissionais,,Indicação MEJ,,,,"1,01581","26,78485",,,,,,,"27,80066"
Ganho,2023-10-16 17:59:44,Marcelo Nunes Mendes,VidaVerde Reciclagem,Pedro Santos,Startup,Tecnologia da Informação (TI),Site institucional,Parcerias,8000,,,"0,849387","0,000162","0,00088","1,157859","0,099815","1,076539",2023-10-19 22:25:42,,"3,184642"
Ganho,2023-10-19 22:38:49,Patrícia Souza Tavares,SmartFlow Automação,Bruna Almeida,Empresa consolidada,Tecnologia da Informação (TI),Squad as a Service,Comunidade CITi,14400,,,"0,000116",,,"1,009745","0,000289","6,901609",2023-10-27 20:31:48,,"7,911759"
Leads não-qualificados,2023-10-21 00:38:28,Guilherme Fonseca Reis,GeoNet Engenharia,Lucas Martins,Empresas Juniores,Consultoria e Serviços Profissionais,Desenvolvimento Mobile,Indicação MEJ,,,,"4,723727",,,,,,,,"4,723727"
Leads não-qualificados,2023-10-24 22:56:28,Renata Ribeiro Leite,VisionData Análises,Maria Ferreira,Startup,Tecnologia da Informação (TI),,Indicação MEJ,,,,"0,000069","15,750544",,,,,,,"15,750613"
Montagem de proposta,2023-11-07 20:15:36,Igor Fernandes Campos,,Felipe Costa,Empreendedor,Saúde e Cuidados Médicos,Desenvolvimento Web,Comunidade CITi,,,,"0,000058","0,876516","45,965833","105,07412",,,,,"151,916527"
Leads não-qualificados,2023-11-09 20:34:50,Sara Cruz Ferreira,MaxPower Energia,Maria Ferreira,Empresa consolidada,Construção e Engenharia,,Prospecção Ativa,,,"Lead não tem necessidade nas demandas, mas foi importante para conhecer! ","0,000498","3,957315",,,,,,,"3,957813"
Leads não-qualificados,2023-11-10 11:18:57,Fábio Monteiro Duarte,TopSeg Segurança Patrimonial,Felipe Costa,Startup,Entretenimento e Mídia,,Prospecção Ativa,,,,"0,000046","7,323241",,,,,,,"7,323287"
Leads não-qualificados,2023-11-10 17:12:07,Amanda Moraes Azevedo,InovaTI Tecnologia,Felipe Costa,Empresas Juniores,Consultoria e Serviços Profissionais,Construção de API,Parcerias,1250,,,"0,000208","0,000266","5,977604","5,87537","0,000741","2,149965",,,"14,004154"
Leads não-qualificados,2023-11-13 18:05:39,Felipe Costa Almeida,StrongTech Consultoria,Rafael Lima,Empresa consolidada,Saúde e Cuidados Médicos,Desenvolvimento Web,Prospecção Ativa,,,,"1,083877","20,907211",,,,,,,"21,991088"
Leads não-qualificados,2023-12-05 23:06:49,Natália Castro Freitas,SuperNet Informática,Rafael Lima,Empresa consolidada,Turismo e Hospitalidade,Concepção,Ex cliente,,,,"0,003472","0,000058","8,726354",,,,,"39,968148","8,729884"
Leads não-qualificados,2023-12-07 13:12:49,Daniel Barbosa Guimarães,TecnoSpace Soluções,Pedro Santos,Empresa consolidada,Finanças e Serviços Financeiros,Landing/One page,Parcerias,,,,"0,000509","9,118056",,,,,,,"9,118565"
Montagem de proposta,2023-12-21 14:27:34,Carolina Nascimento Luz,NovaVisão Consultoria,Pedro Santos,Startup,Consultoria e Serviços Profissionais,Concepção,Eventos,,,,"0,000116","0,000417","0,000174","88,1575","9,823368","11,159815",,,"109,14139"
Leads não-qualificados,2024-01-15 18:45:02,Ricardo Fonseca Lima,,Felipe Costa,Empreendedor,Saúde e Cuidados Médicos,Desenvolvimento Web,Comunidade CITi,,,,"6,015208","0,001516","52,140602","9,973727",,,,,
Leads não-qualificados,2024-01-16 17:47:48,Silvia Ferreira Andrade,FocoTI Sistemas,Lucas Martins,Startup,Educação e Ensino,Desenvolvimento Mobile,Marketing,,,,"0,000174",,,,,,,,
Leads não-qualificados,2024-01-16 17:52:39,Gustavo Carvalho Ribeiro,BrightTech Engenharia,Maria Ferreira,Startup,Transporte e Logística,"Squad as a Service, Synergy",Prospecção Ativa,,,Fiz diversos fups e ele não deu um retorno,"6,832188",,"41,961331",,,,,,
Ganho,2024-01-23 20:12:37,Patrícia Pereira Farias,DeltaPrime Soluções,Pedro Santos,Empresa consolidada,Marketing e Publicidade,Synergy,Comunidade CITi,57000,,,"5,637859","0,000081","4,288044","0,00125","0,0061","27,044826",2024-02-29 19:41:15,,
Ganho,2024-01-23 21:21:34,Luiz Felipe Monteiro,IntegraNet Serviços,Pedro Santos,Startup,Biotecnologia e Farmacêutica,Site institucional,Prospecção Ativa,2400,,,"5,587905",,"0,000995","6,071875","0,000498","6,714803",2024-06-03 15:49:45,1900-02-11 06:20:44,
Ganho,2024-01-26 19:59:18,Maria Eduarda Cardoso,PureEnergy Solar,Bruna Almeida,Startup,Tecnologia da Informação (TI),Construção de API,Prospecção Ativa,15300,,,"8,719803",,"4,154178","7,063125","0,001308","17,939074",2024-03-04 17:02:09,,
Ganho,2024-02-29 19:32:51,Paulo Roberto Figueira,InfoMax Tecnologia,Felipe Costa,Startup,Entretenimento e Mídia,"Concepção, Desenvolvimento Web, Synergy",Prospecção Ativa,33150,,,"3,946447","0,024468","0,000347","1,861551","2,001725","17,016111",2024-03-25 15:57:52,,
Ganho,2024-03-04 18:34:37,Jéssica Martins Freire,GreenFuture Sustentável,Rafael Lima,Grupo de pesquisa,Construção e Engenharia,Site institucional,UFPE,1080,,,"2,948414",,"3,809167","4,26081","10,052303","6,914896",2024-04-01 18:13:55,,
Ganho,2024-03-12 21:22:24,Thiago Costa Nascimento,InovaSpace Consultoria,Bruna Almeida,Empresas Juniores,Consultoria e Serviços Profissionais,"Desenvolvimento Web, Site institucional",Comunidade CITi,2400,,,"0,000081","0,002731","8,891782","6,112917","0,001424","32,945347",2024-05-20 19:34:18,1900-01-19 23:17:40,
Ganho,2024-03-15 16:01:47,Beatriz Gonçalves Brito,VisionTech Sistemas,Julia Souza,Startup,Educação e Ensino,Desenvolvimento Web,Prospecção Ativa,28000,,,"3,031968",,"21,072303","41,910648","27,862975","36,275914",2024-07-23 19:43:19,,
Ganho,2024-04-22 16:35:44,Rafael Souza Machado,,Maria Ferreira,Empreendedor,Tecnologia da Informação (TI),"Desenvolvimento Mobile, Desenvolvimento Web",Ex cliente,50000,,,"0,000081","0,000093","0,001667","15,190359","0,000185","2,681331",2024-05-10 13:33:55,,
Diagnóstico,2024-04-29 20:24:05,Sofia Nogueira Costa,,Luiz Henrique Pereira,Empreendedor,Turismo e Hospitalidade,Concepção,Ex cliente,,,,"34,876539",,"134,121134",,,,,,
Ganho,2024-07-01 20:41:06,André Luiz Ramos,GlobalNet Serviços,Julia Souza,Empresa consolidada,Consultoria e Serviços Profissionais,Site institucional,CIn,2400,,,"0,019016","2,661655","0,003391","19,054375","9,233137","4,902535",2024-08-06 17:39:53,,
Renegociação,2024-07-09 19:22:21,Ana Carolina Pires,NetPlus Informática,Lucas Martins,Empresa consolidada,Tecnologia da Informação (TI),Concepção,Parcerias,40000,,,"0,000093","0,000046","38,095012","18,95713","0,00015","13,890706",,1900-01-26 02:20:14,
Negociação,2024-07-16 12:55:45,Rodrigo dos Santos,Soluções Verde Sustentabilidade,Maria Ferreira,Empresa consolidada,Saúde e Cuidados Médicos,Desenvolvimento Mobile,CIn,,,,"0,000081","0,000116","7,357245","12,847037","0,000243","71,104259",,,
Renegociação,2024-07-16 19:42:00,Larissa Moura Soares,,Maria Ferreira,Empreendedor,Moda e Design,"Ecommerce, Site institucional",Indicação MEJ,,,,"0,001296","0,000428","2,729086",,,,,1900-03-28 07:06:22,
Ganho,2024-07-22 19:47:43,João Victor Monteiro,,Pedro Santos,Empreendedor,Educação e Ensino,Concepção,CIn,9000,,,"0,000081","6,9164","3,980752","3,063634","0,968935","2,223241",2024-08-08 23:28:10,,
Ganho,2024-07-23 19:00:33,Fabiana Lima Ferreira,BlueOcean Serviços,Bruna Almeida,Empresa consolidada,Turismo e Hospitalidade,Concepção,Marketing,17500,,,"0,000104",,,"0,000231","12,890174","6,969155",2024-08-12 15:38:30,,
Renegociação,2024-07-29 17:45:33,Guilherme Oliveira Maia,GoldTech Consultoria,Lucas Martins,Empresa consolidada,Consultoria e Serviços Profissionais,"Concepção, Desenvolvimento Web",Comunidade CITi,36360,,,"0,00015","0,000069","3,08706","6,955741","0,00044","59,938715",,"8,125567",
Ganho,2024-08-08 19:35:47,Julia Ramos Oliveira,PowerNet Energia,Julia Souza,Startup,Finanças e Serviços Financeiros,"Squad as a Service, Synergy",CIn,14240,,,"0,000093",,,,,"27,004931",2024-09-04 19:43:04,,
Ganho,2024-08-08 19:56:08,Lucas Martins Ferreira,TransLog Transportes,Maria Ferreira,Empresa consolidada,Setor Público e Governo,"Concepção, Desenvolvimento Web",Ex cliente,71500,,,"0,000671",,,,,"26,991331",2024-09-04 19:44:39,,
Renegociação,2024-08-09 20:36:44,Mariana Nunes Farias,TechUp Soluções,Lucas Martins,Empresa consolidada,Tecnologia da Informação (TI),,Prospecção Ativa,,,,"0,000116",,"47,926979",,,,,1900-01-18 01:28:58,
Negociação,2024-08-12 12:30:17,Felipe Augusto Correia,EcoFuture Sustentabilidade,Felipe Costa,Empresa consolidada,Construção e Engenharia,Ecommerce,Marketing,,,,"0,000174",,"14,162998","9,045625",,"35,119769",,1900-01-04 23:57:18,
Diagnóstico,2024-08-12 15:48:16,Amanda Silva Duarte,InovaLine Tecnologia,Roberto Nascimento,Empresa consolidada,Saúde e Cuidados Médicos,Desenvolvimento Mobile,Comunidade CITi,,,,"23,0286",,"41,160613",,,,,,
Renegociação,2024-08-13 18:44:16,Leonardo Teixeira Lopes,SpeedCargo Transportes,Felipe Costa,Startup,Tecnologia da Informação (TI),Synergy,Prospecção Ativa,,,,"3,04765",,"10,888414",,,,,1900-02-17 03:08:32,
Renegociação,2024-08-15 14:16:17,Gabriela Souza Rodrigues,SoluçãoVerde Sustentável,Pedro Santos,Empresa consolidada,Transporte e Logística,Consultoria de Dados,Parcerias,45000,,,"0,000949",,"3,446354","1,521863","6,174271","21,758553",,1900-01-27 08:25:34,
Negociação,2024-08-19 13:14:28,Diego Costa Andrade,ProSeg Segurança,Felipe Costa,Grupo de pesquisa,Saúde e Cuidados Médicos,Desenvolvimento Mobile,CIn,3500,,,"0,000995","0,003206","7,125069","8,99397",,"41,172604",,1899-12-30 00:00:14,
Renegociação,2024-08-26 16:31:29,Vanessa Cardoso Lima,TechGreen Energia Solar,Clara Tenório,Empresa consolidada,Tecnologia da Informação (TI),"Concepção, Site institucional",Indicação MEJ,2700,,,"0,001632",,,,,"15,037593",,1900-02-03 02:52:45,
Negociação,2024-08-26 16:33:29,Thiago Ferreira Martins,MaxConnect Telecomunicações,Rafael Lima,Empresas Juniores,Consultoria e Serviços Profissionais,Site institucional,Indicação MEJ,,,,"0,000417","13,853981","14,248414","6,96691","0,000428","15,087627",,,
Negociação,2024-08-27 18:33:21,Camila Almeida Moreira,NovaRede Consultoria,Rafael Lima,Empresa consolidada,Alimentos e Bebidas,Concepção,Comunidade CITi,71400,,,"0,787014","0,000301","19,031019","0,000787","0,001227","29,254213",,,
